"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","97","887","9.700000000000001","88.7"
"scientific reasoning","122","16","104","13.114754098360656","85.24590163934425"
"textbook question answering","158","16","138","10.126582278481013","87.34177215189874"
"numeric commonsense","144","7","106","4.861111111111112","73.61111111111111"
"arithmetic reasoning","353","35","294","9.91501416430595","83.28611898016997"
"visual question answering","179","37","137","20.670391061452513","76.53631284916202"
"geometry reasoning","239","10","232","4.184100418410042","97.07112970711297"
"algebraic reasoning","281","13","268","4.6263345195729535","95.37366548042705"
"geometry problem solving","208","8","205","3.8461538461538463","98.5576923076923"
"math word problem","186","1","167","0.5376344086021506","89.78494623655914"
"logical reasoning","37","0","28","0.0","75.67567567567568"
"figure question answering","269","35","240","13.011152416356877","89.21933085501858"
"statistical reasoning","301","36","279","11.960132890365449","92.69102990033223"
