"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","412","717","41.199999999999996","71.7"
"scientific reasoning","122","69","88","56.557377049180324","72.1311475409836"
"textbook question answering","158","76","112","48.10126582278481","70.88607594936708"
"numeric commonsense","144","30","60","20.833333333333336","41.66666666666667"
"arithmetic reasoning","353","90","230","25.495750708215297","65.15580736543909"
"visual question answering","179","81","98","45.2513966480447","54.7486033519553"
"geometry reasoning","239","131","185","54.811715481171554","77.40585774058577"
"algebraic reasoning","281","152","215","54.092526690391466","76.51245551601423"
"geometry problem solving","208","123","166","59.13461538461539","79.8076923076923"
"math word problem","186","22","147","11.827956989247312","79.03225806451613"
"logical reasoning","37","10","14","27.027027027027028","37.83783783783784"
"figure question answering","269","110","194","40.89219330855018","72.11895910780669"
"statistical reasoning","301","112","242","37.2093023255814","80.39867109634552"
