"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","406","673","40.6","67.30000000000001"
"scientific reasoning","122","72","85","59.01639344262295","69.67213114754098"
"textbook question answering","158","74","113","46.835443037974684","71.51898734177216"
"numeric commonsense","144","36","60","25.0","41.66666666666667"
"arithmetic reasoning","353","92","201","26.062322946175637","56.94050991501416"
"visual question answering","179","89","94","49.72067039106145","52.513966480446925"
"geometry reasoning","239","137","165","57.32217573221757","69.0376569037657"
"algebraic reasoning","281","154","197","54.804270462633454","70.1067615658363"
"geometry problem solving","208","130","145","62.5","69.71153846153845"
"math word problem","186","21","125","11.29032258064516","67.20430107526882"
"logical reasoning","37","3","10","8.108108108108109","27.027027027027028"
"figure question answering","269","92","196","34.20074349442379","72.86245353159852"
"statistical reasoning","301","100","245","33.222591362126245","81.3953488372093"
