"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","212","799","21.2","79.9"
"scientific reasoning","122","44","97","36.0655737704918","79.50819672131148"
"textbook question answering","158","50","131","31.645569620253166","82.91139240506328"
"numeric commonsense","144","34","73","23.61111111111111","50.69444444444444"
"arithmetic reasoning","353","51","262","14.44759206798867","74.22096317280453"
"visual question answering","179","54","112","30.16759776536313","62.56983240223464"
"geometry reasoning","239","33","215","13.807531380753138","89.9581589958159"
"algebraic reasoning","281","46","252","16.370106761565836","89.6797153024911"
"geometry problem solving","208","27","191","12.980769230769232","91.82692307692307"
"math word problem","186","14","155","7.526881720430108","83.33333333333334"
"logical reasoning","37","0","17","0.0","45.94594594594595"
"figure question answering","269","67","210","24.907063197026023","78.06691449814126"
"statistical reasoning","301","72","258","23.920265780730897","85.71428571428571"
