"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","220","653","22.0","65.3"
"scientific reasoning","122","15","85","12.295081967213115","69.67213114754098"
"textbook question answering","158","19","109","12.025316455696203","68.9873417721519"
"numeric commonsense","144","25","52","17.36111111111111","36.11111111111111"
"arithmetic reasoning","353","61","207","17.280453257790366","58.640226628895185"
"visual question answering","179","53","96","29.608938547486037","53.63128491620112"
"geometry reasoning","239","26","175","10.87866108786611","73.22175732217573"
"algebraic reasoning","281","32","202","11.387900355871885","71.88612099644128"
"geometry problem solving","208","21","155","10.096153846153847","74.51923076923077"
"math word problem","186","15","118","8.064516129032258","63.44086021505376"
"logical reasoning","37","0","7","0.0","18.91891891891892"
"figure question answering","269","112","175","41.63568773234201","65.05576208178438"
"statistical reasoning","301","121","234","40.19933554817276","77.74086378737542"
