"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","228","846","22.8","84.6"
"scientific reasoning","122","35","100","28.688524590163933","81.9672131147541"
"textbook question answering","158","46","129","29.11392405063291","81.64556962025317"
"numeric commonsense","144","19","83","13.194444444444445","57.638888888888886"
"arithmetic reasoning","353","64","278","18.13031161473088","78.75354107648725"
"visual question answering","179","61","123","34.07821229050279","68.71508379888269"
"geometry reasoning","239","58","225","24.267782426778243","94.14225941422593"
"algebraic reasoning","281","76","259","27.046263345195733","92.17081850533808"
"geometry problem solving","208","54","200","25.961538461538463","96.15384615384616"
"math word problem","186","7","164","3.763440860215054","88.17204301075269"
"logical reasoning","37","3","21","8.108108108108109","56.75675675675676"
"figure question answering","269","60","230","22.304832713754646","85.50185873605948"
"statistical reasoning","301","67","277","22.259136212624583","92.02657807308971"
