"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","59","899","5.8999999999999995","89.9"
"scientific reasoning","122","3","107","2.459016393442623","87.70491803278688"
"textbook question answering","158","0","139","0.0","87.9746835443038"
"numeric commonsense","144","5","102","3.4722222222222223","70.83333333333334"
"arithmetic reasoning","353","25","298","7.0821529745042495","84.41926345609065"
"visual question answering","179","23","132","12.849162011173185","73.74301675977654"
"geometry reasoning","239","1","232","0.41841004184100417","97.07112970711297"
"algebraic reasoning","281","0","268","0.0","95.37366548042705"
"geometry problem solving","208","0","205","0.0","98.5576923076923"
"math word problem","186","1","182","0.5376344086021506","97.84946236559139"
"logical reasoning","37","0","28","0.0","75.67567567567568"
"figure question answering","269","35","241","13.011152416356877","89.59107806691449"
"statistical reasoning","301","36","280","11.960132890365449","93.02325581395348"
