"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","108","870","10.8","87.0"
"scientific reasoning","122","10","102","8.19672131147541","83.60655737704919"
"textbook question answering","158","9","134","5.69620253164557","84.81012658227847"
"numeric commonsense","144","9","97","6.25","67.36111111111111"
"arithmetic reasoning","353","58","287","16.43059490084986","81.30311614730878"
"visual question answering","179","60","127","33.5195530726257","70.94972067039106"
"geometry reasoning","239","14","226","5.857740585774058","94.56066945606695"
"algebraic reasoning","281","20","261","7.11743772241993","92.88256227758008"
"geometry problem solving","208","14","200","6.730769230769231","96.15384615384616"
"math word problem","186","0","175","0.0","94.08602150537635"
"logical reasoning","37","1","23","2.7027027027027026","62.16216216216216"
"figure question answering","269","25","234","9.293680297397769","86.98884758364312"
"statistical reasoning","301","25","275","8.305647840531561","91.36212624584718"
