"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","255","850","25.5","85.0"
"scientific reasoning","122","54","105","44.26229508196721","86.0655737704918"
"textbook question answering","158","63","138","39.87341772151899","87.34177215189874"
"numeric commonsense","144","29","85","20.13888888888889","59.02777777777778"
"arithmetic reasoning","353","76","261","21.529745042492916","73.93767705382436"
"visual question answering","179","70","114","39.10614525139665","63.687150837988824"
"geometry reasoning","239","41","232","17.154811715481173","97.07112970711297"
"algebraic reasoning","281","60","269","21.352313167259787","95.72953736654804"
"geometry problem solving","208","34","205","16.346153846153847","98.5576923076923"
"math word problem","186","16","157","8.60215053763441","84.40860215053763"
"logical reasoning","37","4","30","10.81081081081081","81.08108108108108"
"figure question answering","269","72","236","26.765799256505574","87.73234200743495"
"statistical reasoning","301","78","274","25.91362126245847","91.0299003322259"
