"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","2","321","0.2","32.1"
"scientific reasoning","122","1","60","0.819672131147541","49.18032786885246"
"textbook question answering","158","1","82","0.6329113924050633","51.89873417721519"
"numeric commonsense","144","0","29","0.0","20.13888888888889"
"arithmetic reasoning","353","0","88","0.0","24.929178470254957"
"visual question answering","179","0","62","0.0","34.63687150837989"
"geometry reasoning","239","1","98","0.41841004184100417","41.00418410041841"
"algebraic reasoning","281","1","115","0.3558718861209964","40.92526690391459"
"geometry problem solving","208","1","85","0.4807692307692308","40.86538461538461"
"math word problem","186","0","35","0.0","18.817204301075268"
"logical reasoning","37","0","3","0.0","8.108108108108109"
"figure question answering","269","0","57","0.0","21.189591078066915"
"statistical reasoning","301","0","74","0.0","24.58471760797342"
