"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","72","448","7.199999999999999","44.800000000000004"
"scientific reasoning","122","6","66","4.918032786885246","54.09836065573771"
"textbook question answering","158","10","90","6.329113924050633","56.9620253164557"
"numeric commonsense","144","11","31","7.638888888888889","21.52777777777778"
"arithmetic reasoning","353","22","133","6.232294617563739","37.6770538243626"
"visual question answering","179","18","61","10.05586592178771","34.07821229050279"
"geometry reasoning","239","20","119","8.368200836820083","49.7907949790795"
"algebraic reasoning","281","21","143","7.473309608540925","50.88967971530249"
"geometry problem solving","208","16","106","7.6923076923076925","50.96153846153846"
"math word problem","186","6","76","3.225806451612903","40.86021505376344"
"logical reasoning","37","1","3","2.7027027027027026","8.108108108108109"
"figure question answering","269","22","115","8.178438661710038","42.75092936802974"
"statistical reasoning","301","27","166","8.970099667774086","55.14950166112956"
