"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","298","561","29.799999999999997","56.10000000000001"
"scientific reasoning","122","43","64","35.24590163934426","52.459016393442624"
"textbook question answering","158","44","91","27.848101265822784","57.59493670886076"
"numeric commonsense","144","26","48","18.055555555555554","33.33333333333333"
"arithmetic reasoning","353","89","197","25.21246458923513","55.80736543909348"
"visual question answering","179","85","89","47.486033519553075","49.72067039106145"
"geometry reasoning","239","84","128","35.146443514644346","53.55648535564853"
"algebraic reasoning","281","93","150","33.096085409252666","53.380782918149464"
"geometry problem solving","208","77","110","37.019230769230774","52.88461538461539"
"math word problem","186","14","119","7.526881720430108","63.97849462365591"
"logical reasoning","37","6","5","16.216216216216218","13.513513513513514"
"figure question answering","269","78","152","28.99628252788104","56.50557620817844"
"statistical reasoning","301","81","204","26.910299003322258","67.77408637873754"
