"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","290","668","28.999999999999996","66.8"
"scientific reasoning","122","54","83","44.26229508196721","68.0327868852459"
"textbook question answering","158","50","107","31.645569620253166","67.72151898734177"
"numeric commonsense","144","18","65","12.5","45.13888888888889"
"arithmetic reasoning","353","86","221","24.362606232294617","62.606232294617556"
"visual question answering","179","81","102","45.2513966480447","56.98324022346368"
"geometry reasoning","239","67","154","28.03347280334728","64.43514644351464"
"algebraic reasoning","281","77","182","27.402135231316727","64.76868327402136"
"geometry problem solving","208","61","132","29.326923076923077","63.46153846153846"
"math word problem","186","9","135","4.838709677419355","72.58064516129032"
"logical reasoning","37","3","9","8.108108108108109","24.324324324324326"
"figure question answering","269","89","192","33.08550185873606","71.37546468401487"
"statistical reasoning","301","96","243","31.893687707641195","80.73089700996677"
