"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","278","790","27.800000000000004","79.0"
"scientific reasoning","122","49","97","40.16393442622951","79.50819672131148"
"textbook question answering","158","58","123","36.708860759493675","77.84810126582279"
"numeric commonsense","144","32","68","22.22222222222222","47.22222222222222"
"arithmetic reasoning","353","77","258","21.813031161473088","73.08781869688386"
"visual question answering","179","73","110","40.78212290502793","61.452513966480446"
"geometry reasoning","239","55","203","23.01255230125523","84.93723849372385"
"algebraic reasoning","281","73","236","25.97864768683274","83.98576512455516"
"geometry problem solving","208","49","180","23.557692307692307","86.53846153846155"
"math word problem","186","17","151","9.13978494623656","81.18279569892472"
"logical reasoning","37","1","18","2.7027027027027026","48.64864864864865"
"figure question answering","269","81","226","30.111524163568777","84.01486988847584"
"statistical reasoning","301","91","275","30.23255813953488","91.36212624584718"
