"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","84","902","8.4","90.2"
"scientific reasoning","122","7","103","5.737704918032787","84.42622950819673"
"textbook question answering","158","10","137","6.329113924050633","86.70886075949366"
"numeric commonsense","144","3","113","2.083333333333333","78.47222222222221"
"arithmetic reasoning","353","40","305","11.3314447592068","86.40226628895185"
"visual question answering","179","39","140","21.787709497206702","78.2122905027933"
"geometry reasoning","239","10","233","4.184100418410042","97.48953974895397"
"algebraic reasoning","281","17","269","6.049822064056939","95.72953736654804"
"geometry problem solving","208","10","206","4.807692307692308","99.03846153846155"
"math word problem","186","0","180","0.0","96.7741935483871"
"logical reasoning","37","2","25","5.405405405405405","67.56756756756756"
"figure question answering","269","25","239","9.293680297397769","88.84758364312268"
"statistical reasoning","301","22","282","7.308970099667775","93.68770764119601"
